City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
248,Okha,RU,2022-01-30 22:10:46,53.5739,142.9478,9.43,93,100,21.47,light snow
249,Baracoa,CU,2022-01-30 22:10:47,20.3467,-74.4958,70.52,86,100,11.68,overcast clouds
250,Jiexiu,CN,2022-01-30 22:10:47,37.0244,111.9125,20.25,48,0,8.05,clear sky
251,Le Mans,FR,2022-01-30 22:10:47,48.0,0.2,46.33,76,100,4.61,overcast clouds
252,Amberley,US,2022-01-30 22:10:48,39.2048,-84.428,39.02,57,0,5.01,clear sky
253,Port Blair,IN,2022-01-30 22:08:22,11.6667,92.75,71.51,72,42,8.39,scattered clouds
254,Iqaluit,CA,2022-01-30 22:10:49,63.7506,-68.5145,-16.87,76,20,3.44,few clouds
255,Saint-Joseph,RE,2022-01-30 22:09:25,-21.3667,55.6167,77.38,80,27,12.48,scattered clouds
256,Jalu,LY,2022-01-30 22:10:49,29.0331,21.5482,54.41,57,73,15.52,broken clouds
257,Adrar,MR,2022-01-30 22:10:50,20.5022,-10.0711,75.31,13,100,10.11,overcast clouds
258,Kirakira,SB,2022-01-30 22:10:50,-10.4544,161.9205,83.25,76,92,5.1,light rain
259,San Pedro,PH,2022-01-30 22:10:51,14.35,121.0167,77.32,84,71,9.37,broken clouds
